county_name,state_code,total_quakes,avg_mag,max_mag,severe_quakes
Los Angeles County,CA,5051,1.5112829142743955,4.66,0
Cook County,IL,1,3.2,3.2,0
Harris County,TX,0,0,0,0
Maricopa County,AZ,0,0,0,0
San Diego County,CA,8785,1.40913488901538,5.21,1
Orange County,CA,7393,1.5307317732990668,5.44,2
Miami-Dade County,FL,0,0,0,0
Kings County,NY,22,1.6781818181818182,2.6,0
Dallas County,TX,136,2.4742647058823524,3.6,0
Riverside County,CA,4630,1.4837926565874826,4.26,0
Queens County,NY,25,1.6336000000000002,2.6,0
Clark County,NV,667,1.6330734632683672,3.6,0
King County,WA,2604,1.5175333239405944,3.91,0
San Bernardino County,CA,10575,1.618335697399521,5.06,1
Tarrant County,TX,190,2.538421052631579,4,0
Bexar County,TX,4,1.95,2.1,0
Broward County,FL,0,0,0,0
Santa Clara County,CA,14715,1.5166388039415577,5.45,2
Wayne County,MI,3,2.566666666666667,3.4,0
Alameda County,CA,13603,1.5316621333529379,5.45,1
New York County,NY,34,1.5602941176470584,2.6,0
Middlesex County,MA,19,1.6736842105263159,2.5,0
Sacramento County,CA,84,1.7584523809523804,2.99,0
Philadelphia County,PA,7,1.6342857142857141,2.1,0
Suffolk County,NY,0,0,0,0
Palm Beach County,FL,0,0,0,0
Hillsborough County,FL,0,0,0,0
Orange County,FL,0,0,0,0
Bronx County,NY,36,1.5452777777777773,2.6,0
Nassau County,NY,15,1.634666666666667,2.6,0
Franklin County,OH,0,0,0,0
Travis County,TX,1,2.9,2.9,0
Oakland County,MI,1,1.8,1.8,0
Hennepin County,MN,0,0,0,0
Cuyahoga County,OH,22,2.322727272727273,4,0
Allegheny County,PA,0,0,0,0
Salt Lake County,UT,1892,1.5646353065539083,5.7,1
Contra Costa County,CA,10017,1.5685065388839057,4.46,0
Wake County,NC,0,0,0,0
Fairfax County,VA,3,1.8800000000000001,2.3,0
Mecklenburg County,NC,6,2.001666666666667,2.19,0
Collin County,TX,0,0,0,0
Fulton County,GA,6,2.14,2.4,0
Montgomery County,MD,10,2.013,3.6,0
Pima County,AZ,0,0,0,0
Fresno County,CA,240,2.07925,3.26,0
Duval County,FL,0,0,0,0
Honolulu County,HI,3,2.026666666666667,2.55,0
Westchester County,NY,33,1.5572727272727271,2.6,0
St. Louis County,MO,10,2.4110000000000005,2.84,0
Marion County,IN,0,0,0,0
Capitol Planning Region,CT,15,1.8466666666666667,3.3,0
Gwinnett County,GA,8,2.15875,2.45,0
Pinellas County,FL,0,0,0,0
Prince George's County,MD,4,2.0075,2.3,0
Bergen County,NJ,49,1.5940816326530616,2.95,0
Erie County,NY,14,2.1078571428571427,3.8,0
Denton County,TX,13,2.3615384615384616,3,0
Milwaukee County,WI,0,0,0,0
DuPage County,IL,3,3.2000000000000006,3.8,0
